0,1,2,3
3059,3965,3329,3430
148420,140474,215908,214867
11939,13111,23304,18092
4,4,4,5
8935,9637,9059,9394
10020,10702,13795,6429
16828,19305,21686,15165
41527,52534,90210,59215
188376,138324,172002,147583
7984,5129,13429,10286
149694,119955,216744,170343
224729,94908,196889,171358
18,28,9,20
3016,8757,5581,3819
31,105,83,25
84275,39583,54926,58479
14609,9341,16944,14072
7076,7791,11338,7303
10178,9387,7164,14432
85219,110400,139589,97413
107,481,113,339
221888,107736,261273,215041
233251,173217,284621,293780
48522,61438,70257,52235
21865,21416,23359,16900
141325,107248,201169,134017
42863,52468,61932,44766
236064,336010,281129,236313
5140,6095,8031,5020
28738,39654,29805,41174
175878,157030,184400,204535
53363,90696,107044,64295
49833,41313,55690,47219
578,3883,852,515
13819,32823,35128,36796
51514,49879,59729,49973
8285,11976,21479,16747
101026,81269,123950,84471
4852,4887,10616,3129
78124,68104,129242,124429
278,332,456,261
620,1099,1612,960
233726,167099,268208,245977
9021,14396,6386,9161
31800,38240,36681,43994
127112,122948,143998,159878
780,876,1082,705
134777,97712,120877,166537
103557,62646,106344,104620
1718,4337,4756,2250
